epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,83.8122,2.0397,1.78635,1.05499,0.80218,0.05357,0.13958,0.02956,2.83525,2.98291,1.55367,0.000286959,0.000286959,0.000286959
81,84.7593,1.92636,1.68502,1.06577,0.70325,0.05357,0.14518,0.03038,2.82666,2.93007,1.53781,0.000277389,0.000277389,0.000277389
82,85.6464,2.0393,1.91291,1.12662,0.70325,0.05357,0.14518,0.03038,2.82666,2.93007,1.53781,0.000267488,0.000267488,0.000267488
83,86.5253,2.0877,1.7688,1.06402,0.70325,0.05357,0.14518,0.03038,2.82666,2.93007,1.53781,0.000257258,0.000257258,0.000257258
84,87.4716,2.08315,1.70718,1.08307,0.66624,0.05357,0.15722,0.03212,2.81017,2.87397,1.50778,0.000246698,0.000246698,0.000246698
85,88.3593,1.99278,1.64794,1.04213,0.66624,0.05357,0.15722,0.03212,2.81017,2.87397,1.50778,0.000235807,0.000235807,0.000235807
86,89.2991,2.03234,1.73878,1.09737,0.66624,0.05357,0.15722,0.03212,2.81017,2.87397,1.50778,0.000224587,0.000224587,0.000224587
87,90.2145,1.97196,1.62887,1.07166,0.66624,0.05357,0.15722,0.03212,2.81017,2.87397,1.50778,0.000213036,0.000213036,0.000213036
88,91.1153,2.07281,1.72077,1.07882,0.29914,0.07989,0.15493,0.03166,2.81532,2.80788,1.50795,0.000201155,0.000201155,0.000201155
89,92.0742,2.1345,1.73298,1.0896,0.29914,0.07989,0.15493,0.03166,2.81532,2.80788,1.50795,0.000188944,0.000188944,0.000188944
90,92.9678,2.23375,1.82224,1.12959,0.29914,0.07989,0.15493,0.03166,2.81532,2.80788,1.50795,0.000176404,0.000176404,0.000176404
91,107.891,2.03656,1.77757,1.03889,0.29914,0.07989,0.15493,0.03166,2.81532,2.80788,1.50795,0.000163533,0.000163533,0.000163533
92,110.281,2.03108,1.74149,1.06726,0.25146,0.09774,0.17258,0.0334,2.82584,2.73577,1.50276,0.000150332,0.000150332,0.000150332
93,111.357,2.0492,1.85342,1.06535,0.25146,0.09774,0.17258,0.0334,2.82584,2.73577,1.50276,0.000136801,0.000136801,0.000136801
94,112.448,2.0177,1.69452,1.0326,0.25146,0.09774,0.17258,0.0334,2.82584,2.73577,1.50276,0.00012294,0.00012294,0.00012294
95,113.361,2.0313,1.77125,1.05826,0.25146,0.09774,0.17258,0.0334,2.82584,2.73577,1.50276,0.000108748,0.000108748,0.000108748
96,114.27,2.08374,1.67778,1.08241,0.28573,0.13346,0.17639,0.03497,2.82418,2.67852,1.5091,9.42272e-05,9.42272e-05,9.42272e-05
97,115.172,1.99232,1.69952,1.13104,0.28573,0.13346,0.17639,0.03497,2.82418,2.67852,1.5091,7.93759e-05,7.93759e-05,7.93759e-05
98,116.082,2.09379,1.81983,1.1743,0.28573,0.13346,0.17639,0.03497,2.82418,2.67852,1.5091,6.41945e-05,6.41945e-05,6.41945e-05
99,116.968,2.01506,1.66978,1.10368,0.28573,0.13346,0.17639,0.03497,2.82418,2.67852,1.5091,4.86831e-05,4.86831e-05,4.86831e-05
100,117.908,2.09591,1.67306,1.06307,0.36669,0.21241,0.18312,0.03693,2.8237,2.63037,1.50664,3.28416e-05,3.28416e-05,3.28416e-05
